model,type,size,epoch,time_seconds
resnet50,rectangular,320,10,38
resnet50,rectangular,320,11,38
resnet50,rectangular,320,12,38
resnet50,rectangular,320,13,38
resnet50,rectangular,320,14,38
resnet50,rectangular,320,15,38
resnet50,rectangular,320,16,38
resnet50,rectangular,320,17,38
mobilenet_v3_small,original,224,1,56
mobilenet_v3_small,original,224,2,67
mobilenet_v3_small,original,224,3,70
mobilenet_v3_small,original,224,4,69
mobilenet_v3_small,original,224,5,70
mobilenet_v3_small,original,224,6,70
mobilenet_v3_small,original,224,7,71
mobilenet_v3_small,original,224,8,71
mobilenet_v3_small,original,224,9,69
mobilenet_v3_small,original,224,10,69
mobilenet_v3_small,original,224,11,70
mobilenet_v3_small,original,224,12,71
mobilenet_v3_small,original,224,13,70
mobilenet_v3_small,original,224,14,70
mobilenet_v3_small,original,224,15,70
mobilenet_v3_small,original,256,1,71
mobilenet_v3_small,original,256,2,69
mobilenet_v3_small,original,256,3,72
mobilenet_v3_small,original,256,4,72
mobilenet_v3_small,original,256,5,72
mobilenet_v3_small,original,256,6,71
mobilenet_v3_small,original,256,7,73
mobilenet_v3_small,original,256,8,72
mobilenet_v3_small,original,256,9,73
mobilenet_v3_small,original,256,10,73
mobilenet_v3_small,original,256,11,70
mobilenet_v3_small,original,256,12,73
mobilenet_v3_small,original,256,13,71
mobilenet_v3_small,original,256,14,72
mobilenet_v3_small,original,256,15,71
mobilenet_v3_small,original,256,16,72
mobilenet_v3_small,original,256,17,72
mobilenet_v3_small,original,320,1,75
mobilenet_v3_small,original,320,2,76
mobilenet_v3_small,original,320,3,76
mobilenet_v3_small,original,320,4,75
mobilenet_v3_small,original,320,5,76
mobilenet_v3_small,original,320,6,75
mobilenet_v3_small,original,320,7,75
mobilenet_v3_small,original,320,8,76
mobilenet_v3_small,original,320,9,75
mobilenet_v3_small,original,320,10,73
mobilenet_v3_small,original,320,11,76
mobilenet_v3_small,original,320,12,75
mobilenet_v3_small,original,320,13,73
mobilenet_v3_small,original,320,14,75
mobilenet_v3_small,original,320,15,75
mobilenet_v3_small,original,320,16,74
mobilenet_v3_small,original,320,17,76
mobilenet_v3_small,original,320,18,75
mobilenet_v3_small,original,320,19,74
mobilenet_v3_small,original,320,20,77
mobilenet_v3_small,original,320,21,73
mobilenet_v3_small,rectangular,224,1,34
mobilenet_v3_small,rectangular,224,2,35
mobilenet_v3_small,rectangular,224,3,34
mobilenet_v3_small,rectangular,224,4,36
mobilenet_v3_small,rectangular,224,5,35
mobilenet_v3_small,rectangular,224,6,35
mobilenet_v3_small,rectangular,224,7,34
mobilenet_v3_small,rectangular,224,8,35
mobilenet_v3_small,rectangular,224,9,35
mobilenet_v3_small,rectangular,224,10,35
mobilenet_v3_small,rectangular,224,11,36
mobilenet_v3_small,rectangular,224,12,35
mobilenet_v3_small,rectangular,224,13,35
mobilenet_v3_small,rectangular,224,14,35
mobilenet_v3_small,rectangular,224,15,35
mobilenet_v3_small,rectangular,224,16,35
mobilenet_v3_small,rectangular,224,17,34
mobilenet_v3_small,rectangular,224,18,35
mobilenet_v3_small,rectangular,224,19,35
mobilenet_v3_small,rectangular,256,1,36
mobilenet_v3_small,rectangular,256,2,36
mobilenet_v3_small,rectangular,256,3,35
mobilenet_v3_small,rectangular,256,4,35
mobilenet_v3_small,rectangular,256,5,36
mobilenet_v3_small,rectangular,256,6,36
mobilenet_v3_small,rectangular,256,7,36
mobilenet_v3_small,rectangular,256,8,36
mobilenet_v3_small,rectangular,256,9,36
mobilenet_v3_small,rectangular,256,10,36
mobilenet_v3_small,rectangular,256,11,37
mobilenet_v3_small,rectangular,256,12,37
mobilenet_v3_small,rectangular,256,13,36
mobilenet_v3_small,rectangular,256,14,36
mobilenet_v3_small,rectangular,256,15,36
mobilenet_v3_small,rectangular,256,16,36
mobilenet_v3_small,rectangular,256,17,36
mobilenet_v3_small,rectangular,256,18,36
mobilenet_v3_small,rectangular,256,19,36
mobilenet_v3_small,rectangular,256,20,36
mobilenet_v3_small,rectangular,256,21,36
mobilenet_v3_small,rectangular,320,1,39
mobilenet_v3_small,rectangular,320,2,39
mobilenet_v3_small,rectangular,320,3,39
mobilenet_v3_small,rectangular,320,4,39
mobilenet_v3_small,rectangular,320,5,38
mobilenet_v3_small,rectangular,320,6,39
mobilenet_v3_small,rectangular,320,7,39
mobilenet_v3_small,rectangular,320,8,39
mobilenet_v3_small,rectangular,320,9,39
mobilenet_v3_small,rectangular,320,10,38
mobilenet_v3_small,rectangular,320,11,39
mobilenet_v3_small,rectangular,320,12,39
mobilenet_v3_small,rectangular,320,13,39
mobilenet_v3_small,rectangular,320,14,38
mobilenet_v3_small,rectangular,320,15,39
mobilenet_v3_small,rectangular,320,16,40
mobilenet_v3_small,rectangular,320,17,39
mobilenet_v3_small,rectangular,320,18,38
mobilenet_v3_small,rectangular,320,19,39
mobilenet_v3_small,rectangular,320,20,39
mobilenet_v3_small,rectangular,320,21,40
mobilenet_v3_small,rectangular,320,22,38
mobilenet_v3_small,rectangular,320,23,39
mobilenet_v3_small,rectangular,320,24,40
mobilenet_v3_small,rectangular,320,25,39
mobilenet_v3_small,rectangular,320,26,39
mobilenet_v3_small,rectangular,320,27,40
